Model,Count,Mean,Median,Std,Min,Max,Q25,Q75,High_Confidence,Low_Confidence
GPT-4o-mini,11,0.995,1.0,0.014,0.95,1.0,1.0,1.0,100.0,0.0
Claude 3.7 Sonnet,52,0.885,1.0,0.298,0.0,1.0,1.0,1.0,88.462,9.615
DeepSeek V3 0324,16,0.853,0.85,0.08,0.7,0.95,0.8,0.912,87.5,0.0
