Group,Model,Count,Mean,Median,Std,Min,Max,High_Confidence_Pct,Low_Confidence_Pct
with_hil,GPT-4o-mini,9,0.9777777777777779,1.0,0.06666666666666665,0.8,1.0,100.0,0.0
with_hil,DeepSeek V3 0324,15,0.9666666666666667,1.0,0.04879500364742665,0.9,1.0,100.0,0.0
with_hil,Claude 3.7 Sonnet,95,0.8568421052631576,0.8,0.10174292968163226,0.7,1.0,85.26315789473684,0.0
without_hil,DeepSeek V3 0324,16,0.853125,0.85,0.08260094833999586,0.7,0.95,87.5,0.0
without_hil,Claude 3.7 Sonnet,52,0.8846153846153846,1.0,0.3009036165042543,0.0,1.0,88.46153846153845,9.615384615384617
without_hil,GPT-4o-mini,11,0.9954545454545454,1.0,0.015075567228888193,0.95,1.0,100.0,0.0
