Group,Model,Entities_Detected,Detection_Rate_%,Miss_Rate_%,Ontology_Complete_%,Judge_Score_Mean,High_Confidence_%,Label_Diversity,Unique_Labels,Unique_Locations
with_hil,GPT-4o-mini,9,15.3%,84.7%,55.6%,0.978,100.0%,1.89,7,5
with_hil,DeepSeek V3 0324,15,25.4%,74.6%,86.7%,0.967,100.0%,2.34,11,5
with_hil,Claude 3.7 Sonnet,50,84.7%,15.3%,100.0%,0.857,85.3%,2.88,21,6
without_hil,DeepSeek V3 0324,10,26.3%,73.7%,40.0%,0.853,87.5%,1.89,7,4
without_hil,Claude 3.7 Sonnet,30,78.9%,21.1%,96.7%,0.885,88.5%,2.37,12,5
without_hil,GPT-4o-mini,11,28.9%,71.1%,45.5%,0.995,100.0%,2.15,9,6
